序号,类群,科中文名,药典/地方,科序,科拉丁名,科特征记忆模块,未知科检索模块
34,3,莲科,拆科,113,Nelumbonaceae,多年生水生草本。根状茎肥大，横走，具多节。叶盾状着生，近圆形，具挺水叶及浮水叶两种。花单生，花葶常高于叶；花被片多数，螺旋状着生；多数离生雄蕊，螺旋状着生；多数离生雌蕊，埋藏于倒圆锥形海绵质花托内。坚果。无胚乳种子，子叶肥厚。,多年生草本。水生草本。根状茎。叶盾状着生。挺水叶。浮水叶。单生花。两性花。单被花。多数离生雄蕊。多数离生雌蕊。坚果。无胚乳种子。
35,3,芍药科,拆科,122,Paeoniaceae,灌木、亚灌木或多年生草本。根或呈纺锤形块根。当年生分枝基部或茎基部具数枚鳞片。叶常为二回三出复叶，互生，小叶片全缘或分裂，裂片常全缘。花单生，重被花，花被片多数、分离；雄蕊多数，分离；雌蕊心皮离生，子房上位。聚合蓇葖果。,灌木。亚灌木。多年生草本。纺锤形块根。二回三出复叶。叶互生。单生花。重被花。离瓣花。多数离生雄蕊。离生雌蕊。子房上位。聚合蓇葖果。
36,3,金缕梅科,药典,124,Hamamelidaceae,乔木或灌木。 叶常互生，全缘或有齿，或掌状分裂，常有托叶。头状花序、穗状花序或总状花序，两性花或单性花，杂性同株或雌雄同株；重被花，或单被花，离生萼或合生萼，花瓣4－5枚；离生雄蕊4－5枚或多数；子房下位或半下位。2室木质蒴果，常室间和室背开裂为4瓣。,乔木。灌木。 互生。全缘。锯齿。掌状缺刻。托叶。杂性花。单性同株。头状花序。穗状花序。总状花序。重被花。单被花。离生萼。离瓣花。定数离生雄蕊。多数离生雄蕊。子房下位。子房半下位。蒴果。室间开裂。室背开裂。
37,3,虎耳草科,药典,129,Saxifragaceae,草本。单叶，互生。聚伞花序或总状花序、圆锥花序，花两性，辐射对称；重被花或单被花，萼片常5枚，花瓣与萼片互生或缺，周位花；离生雄蕊5－10枚；子房上位或下位，花柱通常分离。蒴果。,草本。叶互生。两性花。辐射对称。聚伞花序。总状花序。圆锥花序。单生花。重被花。单被花。周位花。上位花。定数离生雄蕊。子房上位。子房下位。蒴果。
38,3,景天科,药典,130,Crassulaceae,多年生、肉质植物，喜生于干地或石上。多单叶，互生、对生或轮生。单生花或聚伞花序，花多两性，辐射对称；萼片与花瓣同数，4－5基数； 离生雄蕊与萼片同数或2倍之；离生雌蕊心皮通常4－5枚。蓇葖果。,多年生草本。肉质植物。叶互生。叶对生。叶轮生。单叶。羽状复叶。两性花。单性花。辐射对称。单生花。聚伞花序。重被花。离生雄蕊。离生雌蕊。子房上位。蓇葖果。
39,3,葡萄科,药典,136,Vitaceae,多藤本，具顶芽卷须。单叶或复叶，互生。聚伞花序，花两性或单性，辐射对称；重被花，4－5基数，合生萼或离生萼，花瓣分离或有时帽状粘合而整块脱落；具花盘，环状或分裂；离生雄蕊4－6枚，与花瓣同数对生；子房上位。浆果。,藤本。顶芽卷须。直立灌木。叶互生。单叶。复叶。两性花。单性花。聚伞花序。合生萼。离瓣花。花盘。定数离生雄蕊。雄蕊与花瓣同数对生。子房上位。浆果。
40,3,蒺藜科,药典,138,Zygophyllaceae,草本至矮小灌木。单叶、2小叶至羽状复叶，对生或互生，具托叶。花单生于叶腋，或排成顶生的总状花序或圆锥花序；花两性，多辐射对称；重被花，5基数；具花盘，隆起或平压；雄蕊与花瓣同数或2－3倍，子房上位，有角或有翅。蒴果，室间开裂或室背开裂，果瓣常有刺。,草本。矮小灌木。叶对生。叶互生。单叶。羽状复叶。托叶。两性花。辐射对称。左右对称。单生花。总状花序。圆锥花序。重被花。离生萼。离瓣花。花盘。子房上位。室背开裂。蒴果。核果。浆果状。
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
